公司全名,公司简称,公司规模,公司行业,职位性质,工作地址,薪资待遇,职位名称,工作经验,工作区域,职位福利,学历要求
绫致时装（天津）有限公司,绫致时装（天津）有限公司,2000人以上,"电子商务,O2O",全职,国贸,15k-25k,python开发工程师,5-10年,朝阳区,"['年底双薪', '带薪年假', '弹性工作', '扁平管理']",大专
北京刷刷看网络科技有限公司,刷刷看,150-500人,"移动互联网,社交网络",全职,东风北桥,15k-30k,Python工程师,1-3年,朝阳区,"['股票期权', '绩效奖金', '五险一金', '带薪年假']",本科
北京棕榈创想科技有限公司,PALMAX,50-150人,移动互联网,全职,上地,15k-25k,Python开发工程师,3-5年,海淀区,"['绩效奖金', '交通补助', '定期体检', '午餐补助']",本科
北京粉笔蓝天科技有限公司,粉笔网,150-500人,"移动互联网,教育",全职,望京东,25k-40k,Python开发工程师,1-3年,朝阳区,"['技能培训', '节日礼物', '年底双薪', '带薪年假']",本科
北京仁信智清科技有限公司,智清金科,15-50人,"人工智能,企业服务",全职,,20k-35k,Python,不限,海淀区,"['弹性工作', '领导好', '扁平管理', '专项奖金']",本科
北京来也网络科技有限公司,助理来也,50-150人,移动互联网,全职,五道口,20k-40k,Python开发工程师,3-5年,海淀区,"['绩效奖金', '扁平管理', '领导好', '五险一金']",本科
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,"金融,数据服务",全职,国贸,40k-60k,Python,3-5年,朝阳区,"['股票期权', '带薪年假', '扁平管理', '定期体检']",本科
北京贝斯平云科技有限公司,Bespin,150-500人,不限,全职,望京东,15k-30k,Python开发工程师—CI/CD方向,3-5年,朝阳区,"['扁平管理', '技能培训', '云计算', '国际化']",本科
北京雷石世纪科技有限公司,北京雷石公司,150-500人,"移动互联网,企业服务",全职,北苑路北,15k-30k,Python工程师,3-5年,朝阳区,"['节日礼物', '专项奖金', '带薪年假', '绩效奖金']",本科
北京智融时代信息技术有限公司,智融集团,150-500人,金融,全职,西土城,25k-45k,高级Python开发工程师,3-5年,海淀区,"['股票期权', '绩效奖金', '五险一金', '带薪年假']",本科
上海栗德机电工程技术有限公司,上海栗德机电工程技术有限公司,150-500人,信息安全,全职,海淀黄庄,20k-40k,Python开发工程师,5-10年,海淀区,[],本科
上海福萝电子科技有限公司,Cobo Wallet,15-50人,移动互联网 信息安全,全职,望京南,30k-60k,"Python, nodejs，golang工程师",3-5年,朝阳区,"['年底双薪', '专项奖金', '股票期权', '午餐补助']",本科
北京字节跳动科技有限公司,字节跳动,2000人以上,"移动互联网,数据服务",全职,,25k-45k,Python 研发工程师,3-5年,海淀区,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",本科
北京蚂蜂窝网络科技有限公司,马蜂窝,500-2000人,"移动互联网,旅游",全职,望京南,20k-30k,python开发工程师 (MJ000414),1-3年,朝阳区,"['弹性工作', '扁平管理', '氛围好', '年度体检']",不限
混沌时代（北京）教育科技有限公司,混沌大学,150-500人,"移动互联网,教育",全职,西土城,20k-40k,python后台工程师,3-5年,海淀区,"['弹性工作', '扁平管理', '领导好', '五险一金']",本科
北京南天软件有限公司,南软,500-2000人,金融,全职,五道口,10k-18k,Python开发工程师,3-5年,海淀区,"['交通补助', '午餐补助', '带薪年假', '年底双薪']",本科
